IATA,City,Latitude,Longitude
AQC,Klawock,55.554658,-133.101693
AQG,Anqing,30.5822,117.0502
AQI,Hafr Al-batin,28.335192,46.125069
AQJ,Aqaba,29.611619,35.018067
AQP,Arequipa,-16.341072,-71.583083
ARA,Louisiana,30.037758,-91.883896
ARB,Ann Arbor,42.132274,-83.444418
ARC,Arctic Village,68.1147,-145.579
ARD,Alor Island,-8.13234,124.597
ARE,Arecibo,18.451111,-66.675556
ARH,Arkhangelsk,64.360281,40.430167
ARI,Arica,-18.348531,-70.338742
ARK,Arusha,-3.367794,36.633333
ARM,Armidale,-30.528056,151.617222
ARN,Stockholm,59.651944,17.918611
ARR,Alto Rio Senguer,-45.016667,-70.816667
ART,Watertown,43.991922,-76.021739
ARU,Aracatuba,-21.141342,-50.424722
ARV,Minocqua - Woodruff,45.927778,-89.730833
ARW,Arad,46.17655,21.262022
ASA,Assab,13.071783,42.645006
ASB,Ashkhabad,37.986814,58.360967
ASD,Andros Town,24.698283,-77.795611
ASE,Aspen,39.2232,-106.869
ASF,Astrakhan,46.283333,48.006278
ASH,Nashua,42.78175,-71.5147778
ASI,Georgetown Acension Island Santa Helena,-7.969597,-14.393664
ASJ,Amami,28.430633,129.712542
ASK,Yamoussoukro,6.903167,-5.365581
ASM,Asmara,15.291853,38.910667
ASO,Asosa,10.01855,34.586253
ASP,Alice Springs,-23.806667,133.902222
ASR,Kayseri,38.770386,35.495428
AST,Astoria,46.157972,-123.878694
ASU,Asuncion,-25.23985,-57.519133
ASV,Amboseli National Park,-2.64505,37.2531
ASW,Aswan,23.964356,32.819975
ATA,Anta,-9.347444,-77.598392
ATB,Atbara,17.7,33.967
ATC,Arthur's Town,24.629417,-75.673775
ATD,Atoifi,-8.87333,161.011
ATF,Ambato,-1.212067,-78.574636
ATH,Athens,37.936358,23.944467
ATJ,Antsirabe,-19.836944,47.065278
ATK,Atqasuk,70.4673,-157.436
ATL,Atlanta,33.636719,-84.428067
ATM,Altamira,-3.253906,-52.253978
ATP,Aitape,-3.18985,142.43
ATQ,Amritsar,31.709594,74.797264
ATR,Atar,20.506828,-13.043194
ATT,Austin TX,30.31666,-97.7666
ATW,Appleton,44.257526,-88.507576
ATY,Watertown,44.914,-97.1547
ATZ,Asyut,27.046508,31.011983
AUA,Oranjestad,12.501389,-70.015221
AUB,Augsburg,48.3655,10.886
AUC,Arauca,7.068881,-70.736925
AUF,Auxerre,47.850193,3.497111
AUG,Augusta,44.320647,-69.797317
AUH,Abu Dhabi,24.432972,54.651138
AUJ,Ambunti,-4.15,142.51
AUK,Alakanuk,62.68,-164.66
AUL,Aur Atoll,8.14528,171.173
AUO,Auburn,32.3691,-85.2604
AUQ,Hiva-oa,-9.768794,-139.011256
AUR,Aurillac,44.891388,2.421944
AUS,Austin,30.194528,-97.669889
AUU,Aurukun,-13.3539,141.721
AUW,Wausau,44.9262845,-89.6270018
AUX,Araguaina,-7.228333,-48.240833
AUY,Anelghowhat,-20.2492,169.771
AVB,Aviano,46.031889,12.596472
AVI,Ciego De Avila,22.027053,-78.789617
AVK,Arvaikheer,46.2503,102.802
AVL,Asheville,35.436194,-82.541806
AVN,Avignon,43.9073,4.901831
AVO,Avon Park,27.591389,-81.528889
AVP,Scranton,41.338478,-75.723403
AVV,Avalon,-38.039444,144.469444
AVW,Tucson,32.409556,-111.218388
AVX,Catalina Island,33.405,-118.415833
AWA,Awasa,7.067,38.5
AWB,Awaba,-8.014,142.75
AWD,Aniwa,-19.24,169.605
AWK,Wake island,19.282067,166.636444
AWZ,Ahwaz,31.337431,48.76195
AXA,The Valley,18.204834,-63.055084
AXD,Alexandroupolis,40.855869,25.956264
AXJ,Amakusa,32.482222,130.158889
AXK,Ataq,14.551322,46.826183
AXM,Armenia,4.452775,-75.766447
AXP,Spring Point,22.441828,-73.970858
AXR,Arutua,-15.248289,-146.616708
AXT,Akita,39.615556,140.218611
AXU,Axum,14.14675,38.772833
AYK,Arkalyk,50.2395,66.941
AYP,Ayacucho,-13.154819,-74.204417
AYQ,Uluru,-25.186111,130.975556
AYT,Antalya,36.898731,30.800461
AZ3,Sharona,33.1277215,68.8369847
AZA,Mesa,33.307833,-111.655
AZD,Yazd,31.904908,54.276503
AZI,Abu Dhabi,24.428333,54.458084
AZN,Andizhan,40.7277,72.294
AZO,Kalamazoo,42.234875,-85.552058
AZR,Adrar,27.837589,-0.186414
AZS,Samana,19.267,-69.742
BAB,Marysville,39.136089,-121.436567
BAD,Shreveport,32.50182,-93.662674
BAF,Westfield,42.1579472,-72.715875
BAG,Baguio,16.375103,120.619636
BAH,Bahrain,26.270834,50.63361
BAK,Baku,40.4675,50.046667
BAL,Batman,37.928969,41.116583
BAM,Bamberg,49.911,10.9
BAQ,Barranquilla,10.889589,-74.780819
BAS,Ballalae,-6.967,155.883
BAU,Bauru,-22.345042,-49.0538
BAV,Baotou,40.56,109.997
BAX,Barnaul,53.363775,83.538533
BAY,Baia Mare,47.658389,23.470022
BAZ,Barcelos,-0.975,-62.923889
BBA,Balmaceda,-45.916058,-71.689475
BBG,Butaritari,3.086521,172.811465
BBH,Barth,54.33754,12.699705
BBI,Bhubaneswar,20.244364,85.817781
BBJ,Bautzen,51.193531,14.519747
BBK,Kasane,-17.832875,25.1624
BBM,Battambang,13.0956,103.224
BBN,Bario,3.73389,115.479
BBO,Berbera,10.389167,44.941106
BBP,Bembridge,50.677778,-1.109444
BBQ,Codrington,17.6358,-61.8286
BBR,Basse Terre,16.0133,-61.7422
BBS,Blackbushe,51.323889,-0.8475
BBT,Berberati,4.221583,15.786369
BBU,Bucharest,44.503194,26.102111
BBX,Philadelphia,40.1375,-75.265
BCA,Baracoa Playa,20.365317,-74.506206
BCD,Bacolod,10.642511,122.929617
BCE,Bryce Canyon,37.706444,-112.145806
BCI,Barcaldine,-23.5653,145.307
BCL,Pococi,10.768736,-83.585614
BCM,Bacau,46.521946,26.910278
BCN,Barcelona,41.297078,2.078464
BCO,Baco,5.78287,36.562
BCT,Boca Raton,26.3785,-80.107694
BCV,Belmopan,17.269444,-88.776111
BCW,Benguera Island,-21.849167,35.436944
BDA,Bermuda,32.364042,-64.678703
BDB,Bundaberg,-24.903889,152.318611
BDD,Badu Island,-10.15,141.175
BDE,Baudette,48.728444,-94.612222
BDH,Bandar Lengeh,26.532,54.824847
BDI,Bird Island,-3.721389,55.208611
BDJ,Banjarmasin,-3.442356,114.762553
BDL,Windsor Locks,41.938889,-72.683222
BDM,Bandirma,40.317972,27.977694
BDN,Talhar,24.841519,68.838408
BDO,Bandung,-6.900625,107.576294
BDP,Chandragarhi,26.570822,88.079578
BDQ,Baroda,22.336164,73.226289
BDR,Stratford,41.163472,-73.126167
BDS,Brindisi,40.657633,17.947033
BDT,Gbadolite,4.253206,20.975283
BDU,Bardufoss,69.055758,18.540356
BE2,Belfast,54.6178,-5.9017
BEB,Benbecula,57.481111,-7.362778
BEC,Wichita,37.6939167,-97.2149167
BED,Bedford,42.469953,-71.289031
BEF,Bluefields,11.990961,-83.774086
BEG,Belgrade,44.818444,20.309139
BEH,Benton Harbor,42.1285833,-86.4285
BEI,Beica,9.38639,34.5219
BEJ,Tanjung Redep-Borneo Island,2.155497,117.432256
BEL,Belem,-1.37925,-48.476292
BEN,Benghazi,32.096786,20.269472
BEO,Lake Macquarie,-33.066667,151.648333
BEP,Bellary,15.162783,76.882775
BEQ,Honington,52.342611,0.772939
BER,Berlin,52.366667,13.503333
BES,Brest,48.447911,-4.418539
BET,Bethel,60.779778,-161.838
BEU,Bedourie,-24.3461,139.46
BEV,Beer-sheba,31.287003,34.722953
BEW,Beira,-19.796419,34.907556
BEY,Beirut,33.820931,35.488389
BEZ,Beru Island,-1.254722,176.007222
BFD,Bradford,41.8031,-78.6401
BFF,Scottsbluff,41.874,-103.596
BFH,Curitiba,-25.405078,-49.232036
BFI,Seattle,47.53,-122.301947
BFJ,Bijie,27.253,105.426
BFL,Bakersfield,35.433598,-119.05677
BFM,Mobile,30.626783,-88.068092
BFN,Bloemfontein,-29.092722,26.302444
BFO,Chiredzi,-21.008083,31.57855
BFP,Beaver Falls,40.7724722,-80.3914444
BFQ,Bahia Pi̱a,7.583,-78.2
BFS,Belfast,54.6575,-6.215833
BFT,Beaufort,32.477411,-80.723161
BFT,Beauford,32.41083,-80.635
